Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0,8.348558426,3.842873096,-1.841277003,-44.38000107,131.3200073,42,0,0,0
0,8.492726326,3.76211524,-1.793420553,-46.13000107,119,41.43999863,0,0,0
0,8.622536659,3.587439537,-1.438684583,-48.02000046,107.3099976,40.31999969,0,0,0
0,8.676972389,3.536592245,-1.537388563,-50.68000031,96.38999939,38.70999908,0,0,0
0,8.797212601,3.497708321,-1.724028826,-52.84999847,86.23999786,37.72999954,0,0,0
0,8.906683922,3.470191002,-1.944766641,-54.52999878,76.23000336,36.47000122,0,0,0
0,8.716454506,3.332005501,-1.563709497,-56.97999954,66.98999786,35.20999908,0,0,0
0,8.87617588,3.453441381,-1.84606266,-59.36000061,57.54000092,33.18000031,0,0,0
0,8.815756798,3.081357479,-1.524826169,-60.54999924,48.09000015,31.14999962,0,0,0
0,8.979664803,3.127418995,-1.65463686,-63.90999985,40.88000107,28.70000076,0,0,0
0,9.486345291,2.882154942,-2.145165443,-65.80000305,32.90000153,26.25,0,0,0
0,9.921839714,2.910270929,-1.953739643,-67.62000275,25.05999947,23.59000015,0,0,0
0,10.40219879,2.988037348,-2.21216464,-70.06999969,19.87999916,19.87999916,0,0,0
0,10.6175518,2.906083345,-2.392822742,-72.23999786,14.63000011,16.10000038,0,0,0
0,10.59721375,2.960519791,-2.421536684,-74.26999664,10.22000027,12.46000004,0,0,0
0,10.56550789,2.876770973,-2.99401927,-76.51000214,5.389999866,8.260000229,0,0,0
0,10.48176003,2.629113674,-3.076571703,-80.01000214,0.620952,3.150000095,0,0,0
0,10.1844511,2.593819618,-3.930211306,-82.18000031,-5.80043,-3.150000095,0,0,0
0,10.3220396,2.607578516,-3.586242914,-85.88999939,-11.4800005,-10.14999962,0,0,0
0,10.78205776,2.758924484,-4.326821804,-88.26999664,-18.20000076,-17.21999931,0,0,0
0,10.76231861,2.773281336,-4.342973232,-91.20999908,-29.26000023,-25.40999985,0,0,0
0,10.71864891,2.851646423,-4.345963955,-93.44999695,-42.90999985,-35.56000137,0,0,0
0,10.81555843,2.919841766,-4.782055855,-96.66999817,-56.77000046,-46.20000076,0,0,0
0,10.41715431,2.706880569,-4.331607342,-98,-72.80000305,-58.02999878,0,0,0
0,10.44227791,2.827120066,-5.085944176,-100.8700027,-86.16999817,-71.68000031,0,0,0
0,0,0,0,-102.9000015,-96.80999756,-86.30999756,0,0,0
0,0,0,0,11.68999958,226.8699951,-496.7900085,0,0,0
0,0,0,0,7.28000021,303.2399902,-484.9599915,0,0,0
0,0,0,0,12.73999977,363.0899963,-465.3600159,0,0,0
0,0,0,0,7.909999847,376.1100159,-452.5499878,0,0,0
0,0,0,0,6.159999847,353.7799988,-430.2200012,0,0,0
0,0,0,0,6.510000229,318.5700073,-405.7200012,0,0,0
0,0,0,0,4.900000095,271.1100159,-385.980011,0,0,0
0,0,0,0,2.02071,218.6800079,-364.4200134,0,0,0
0,0,0,0,-3.56033,171.9199982,-344.3299866,0,0,0
0,0,0,0,-159.9499969,36.40000153,-131.8099976,0,0,0
0,0,0,0,-162.6800079,34.43999863,-131.1800079,0,0,0
0,0,0,0,-164.7799988,32.47999954,-131.3200073,0,0,0
0,0,0,0,-166.25,31.5,-131.1800079,0,0,0
0,0,0,0,-167.7899933,31.43000031,-130.4799957,0,0,0
0,0,0,0,-169.8200073,34.22999954,-129.5700073,0,0,0
0,0,0,0,-171.7799988,39.75999832,-128.7299957,0,0,0
0,0,0,0,-173.8099976,48.65000153,-128.0299988,0,0,0
0,0,0,0,-174.7899933,55.36999893,-126.7700043,0,0,0
0,0,0,0,-157.2899933,113.6800003,-60.97000122,0,0,0
0,0,0,0,-155.5399933,113.1900024,-55.86000061,0,0,0
0,0,0,0,-154.5599976,111.0200043,-51.38000107,0,0,0
0,0,0,0,-153.1600037,106.4700012,-46.61999893,0,0,0
0,0,0,0,-150.9199982,97.30000305,-41.72000122,0,0,0
0,0,0,0,-148.3300018,89.18000031,-37.09999847,0,0,0
0,0,0,0,-146.3699951,79.73000336,-32.47999954,0,0,0
0,0,0,0,-144.8999939,72.59000397,-28.06999969,0,0,0
0,0,0,0,-143.5,69.16000366,-23.59000015,0,0,0
0,0,0,0,-152.7400055,316.8900146,-9.730000496,0,0,0
0,0,0,0,-152.8099976,330.2600098,-12.81000042,0,0,0
0,0,0,0,-151.8999939,341.3900146,-16.10000038,0,0,0
0,0,0,0,-151.1999969,352.7999878,-19.46000099,0,0,0
0,0,0,0,-149.1699982,362.6000061,-22.61000061,0,0,0
0,0,0,0,-146.9300079,373.3800049,-25.62000084,0,0,0
0,0,0,0,-148.1900024,383.3200073,-28.77000046,0,0,0
